"LOCATION","tags"
"Notre-Dame Cathedral Basilica of Saigon","cathedral,dame,notre,catholic,architecture,exterior,peaceful,religious,window,architectural"
"Nha Rong Wharf","wharf,rong,nha,vietnam,river,museum,history,independence,role,historical"
"Independence Palace","palace,independence,room,south,fall,vietnam,history,reunification,office,historical"
"Saigon Zoo and Botanical Gardens","zoo,animal,botanical,garden,plant,flower,educational,environment,bed,tropical"
"Museum of Vietnamese History","museum,history,vietnam,exhibit,ancient,artifact,vietnamese,country,heritage,historical"
"Cu Chi Tunnels","tunnel,cu,war,cong,wartime,understand,site,living,educational,vietnam"
"Ba Thien Hau Temple","temple,chinese,hau,thien,ba,community,incense,chinatown,cholon,worship"
"Jade Emperor Pagoda","temple,jade,emperor,pagoda,peace,reflection,striking,deity,spiritual,religious"
"Ba Chieu Market","market,chieu,ba,daily,resident,traditional,produce,product,vietnamese,fresh"
"Ben Thanh Market","market,ben,thanh,stall,souvenir,produce,vietnamese,daily,fresh,local"
"Aeon Mall","aeon,mall,shopping,entertainment,phu,fashion,large,tan,beauty,cuisine"
"Takashimaya Vietnam","store,takashimaya,shopping,japanese,product,fashion,vietnam,centre,retail,item"
"Diamond Plaza","diamond,plaza,mall,shopping,luxury,product,entertainment,shopper,combine,store"
"Saigon Square","square,shopping,accessory,fashion,price,market,saigon,mall,electronic,clothing"
"The Cafe Apartments","cafe,apartment,building,unique,culture,boutique,coffee,relax,look,watch"
"Big C Hoang Van Thu","big,thu,hoang,van,supermarket,product,household,shopping,need,grocery"
"Tan Dinh Market","market,dinh,tan,local,fruit,fresh,vendor,surround,home,explore"
"Tan Son Nhat International Airport","airport,flight,nhat,son,passenger,tan,international,terminal,connect,city"
"Saigon Railway Station","station,railway,train,city,journey,saigon,point,starting,travel,link"
"Mien Dong Bus Station","bus,station,mien,dong,travel,vietnam,relatively,eastern,depart,province"
"Mien Tay Bus Station","tay,mien,bus,station,travel,terminal,vietnam,city,southwestern,tho"
"An Suong Bus Station","suong,bus,station,travel,transportation,traveler,village,town,departure,southern"
"Ben Thanh Bus Hub","bus,hub,ben,thanh,city,route,transport,travel,ho,chi"
"Cho Lon Bus Station","lon,cho,station,bus,travel,cholon,southwestern,delta,mekong,short"
"Ben Thanh Metro Station","metro,station,ben,thanh,line,transportation,city,key,construction,traffic"
"Suoi Tien Metro Station","metro,tien,suoi,station,eastern,city,line,key,transportation,transport"
